Date,ABER_BAND_20_15_USU_L2_EXTI32_STF_BIN,ABER_BAND_20_15_USU_L3_EXTI35_STF_BIN,ABER_XG_20_15_USU_L2_EXTI20_BIN,AD_DIFF_USU_L4_EXTI2_BIN,BBPL_20_2_0_USU_L1_EXTI7_BIN,D_J_USU_L5_EXTI29_BIN,K_J_USU_L2_EXTI0_BIN,K_J_USU_L5_EXTI6_BIN,PVOh_12_26_9_L5_EXTI18_BIN,PVOh_12_26_9_L6_EXTI38_BIN,QQE_DELS_USU_L5_EXTI35_BIN,SMIo_5_20_5_L3_EXTI27_BIN,WCP_USU_L2_EXTI22_BIN,ABER_BAND_20_15_USU_L2_EXTI32_STF,ABER_BAND_20_15_USU_L3_EXTI35_STF,ABER_XG_20_15_USU_L2_EXTI20,AD_DIFF_USU_L4_EXTI2,BBPL_20_2_0_USU_L1_EXTI7,D_J_USU_L5_EXTI29,K_J_USU_L2_EXTI0,K_J_USU_L5_EXTI6,PVOh_12_26_9_L5_EXTI18,PVOh_12_26_9_L6_EXTI38,QQE_DELS_USU_L5_EXTI35,SMIo_5_20_5_L3_EXTI27,WCP_USU_L2_EXTI22,target,Close,Open,High,Low,Volume
2024-08-12,3,2,1,2,1,2,1,3,3,3,1,3,2,0.026096282505073454,0.015628318968945454,-30.620294227791895,-297022233.7954712,0.27301163873038614,-1.079363375551825,-23.09294404166011,10.4847271666507,4.170947022767914,2.6754814692188127,-6.576943639363719,0.07304187858113673,0.0,1,513.77001953125,513.8499755859375,519.3599853515625,505.94000244140625,361811
2024-08-09,2,3,1,2,1,2,1,2,3,3,1,3,2,0.0016992842688716703,0.06393924203980417,-73.38443919486961,2190718441.227661,0.2550397291493887,3.32645913775141,-11.094595193005649,5.529351260483921,3.4714631587387665,5.832102879889781,-6.430020686321484,0.03393052371589772,0.005000114440917969,1,511.5299987792969,525.5800170898438,525.5800170898438,510.75,190358
2024-08-08,3,3,1,2,1,2,2,1,3,3,1,2,2,0.021643903860872227,0.08673587812835803,-108.73539999876493,913891390.0274658,0.11230745742766357,-11.771902560298809,0.7183652083556176,-16.754734769968515,2.3438225635563255,5.262321240745823,-6.311599953325953,-0.005895779117118555,0.0,0,522.5499877929688,524.6500244140625,529.47998046875,521.0599975585938,205398
2024-08-07,3,3,1,1,1,1,2,1,3,3,1,1,1,0.08324675321476982,0.19199605148104393,-125.85058644808866,-4094202656.994629,0.11467425810086523,-24.951944461951413,2.903293161220425,-35.30799331999432,1.3897015506563537,7.059137570011124,-6.262020257265618,-0.03725374618440261,-0.04250001907348633,0,520.510009765625,533.0499877929688,533.6500244140625,519.5399780273438,316642
2024-08-06,3,3,2,2,1,2,2,1,2,2,2,2,3,0.1219755219661498,0.09229112093638192,9.355203824365306,1631671804.5198975,0.06246688414696004,4.802486260642709,4.7375326397850035,-38.0887849487541,0.0943477282818285,-2.1496494573053866,2.0320192623217537,-0.02289380040094785,0.027500033378601074,0,532.52001953125,526.719970703125,534.5999755859375,524.0700073242188,360967
2024-08-05,3,3,2,1,1,2,2,1,2,1,2,2,2,0.055116452280274286,0.07779548505318501,8.311517134015217,-2321859836.7438354,0.23979358865361972,6.520004580809424,-2.549004258479112,-25.901182821882813,0.07121973430858684,-6.566533306271687,3.8771397924641207,0.013352443988933892,0.0,0,527.3499755859375,529.8200073242188,537.8300170898438,524.4500122070312,425574
2024-08-02,3,2,2,1,1,3,2,1,3,1,2,2,3,0.04132075194835816,-0.032682728492221536,55.98153046090874,-1970451592.7544556,0.23174200535203707,15.232376215760024,-1.4740533516591867,-8.806672492483877,1.0996237015181114,-6.792624364566496,5.215848344847814,0.005350988719153828,0.014999866485595703,0,534.0,547.5,547.5,528.0700073242188,208641
2024-08-01,2,1,2,2,1,3,3,2,3,1,3,2,3,-0.014062299976698944,-0.03852692219565568,-6.5853359797350475,521834376.7351074,0.2943577586481311,26.759673804336092,11.537702141206038,-6.511531188434283,1.9484472875488312,-8.124381416754165,6.359534601958899,-0.024266278705830244,0.11249995231628418,0,548.6799926757812,560.0,564.5599975585938,548.010009765625,161457
2024-07-31,1,2,1,1,1,3,2,3,2,1,3,2,1,-0.027123649515510495,0.002306109493094066,-69.15242037056889,-2574859606.467285,0.1889880934227875,30.295620305988965,7.578475581140783,12.161604856946262,0.5876896706628836,-10.360245247479462,6.39328684475398,-0.0037934906184689116,-0.07249999046325684,0,559.5499877929688,565.0,573.469970703125,553.02001953125,319733
2024-07-30,2,3,1,1,1,3,2,3,2,1,2,2,3,-0.00035027895279504673,0.02966934627330642,-127.0712748732781,-5837861599.563904,0.025581806871521978,25.312418062126934,0.14897350834792533,14.007020229339465,0.10455138580829493,-11.982362166025837,-1.320990734277835,-0.009080408523349022,0.09750008583068848,0,554.5999755859375,548.9600219726562,561.510009765625,548.9600219726562,306628
2024-07-29,3,3,1,1,1,3,2,3,2,1,2,2,1,0.011899237082776959,0.028354994058131577,-124.10709503016415,-3135711834.6656494,-0.002803446266375616,35.163505581390645,-4.665758391298517,16.577839168843852,0.5631709600798036,-13.462751293209244,-2.0847450395688227,0.028530602841487958,-0.05500006675720215,0,549.969970703125,557.4299926757812,566.0700073242188,548.8900146484375,463311
2024-07-26,2,1,1,3,1,3,2,3,3,1,2,3,3,0.0007183793866979427,-0.06710925345233187,-60.63253882710169,3401745170.9210815,-0.087002693302354,57.11061614950756,7.30810627707616,16.49587584243219,1.5949002437849584,-13.276590895755998,-3.9876204051878616,0.03373210042672873,0.09999990463256836,0,559.7100219726562,564.3499755859375,566.7100219726562,553.010009765625,199824
2024-07-25,1,2,1,1,1,3,3,3,3,1,1,2,3,-0.03138426201178868,0.014281738737931704,-117.19031188058344,-3537945862.6382446,0.20540575541966255,59.72665124572371,13.078389178235497,15.76376847107517,2.0767191950325605,-13.599179224157236,-5.844300403984263,0.02421067761947606,0.14999985694885254,0,559.6799926757812,573.47998046875,573.47998046875,556.5399780273438,402943
2024-07-24,2,2,1,1,1,3,3,3,3,1,1,1,1,-0.011396745230819794,-0.0263945946288604,-111.17299757747577,-2381805483.560486,0.21744035241614154,61.229762682614314,10.764488807384442,12.258945367730547,2.025595794501272,-13.810794594493917,-6.543554969696146,-0.033980179550421596,-0.015000104904174805,0,570.0,568.1300048828125,579.989990234375,566.2899780273438,286869
2024-07-23,2,2,1,1,1,3,3,3,3,1,1,2,1,-0.01227169153371832,-0.028782522703414193,-65.49227553852208,-4853154936.890564,0.22530576293925467,36.77853187851984,11.500492758886281,10.063599969509287,1.135400510989031,-15.657578007402085,-6.578356396977497,-0.0072617700721484685,-0.0550001859664917,0,567.52001953125,552.6799926757812,576.72998046875,552.6799926757812,256998
2024-07-22,1,1,1,2,1,3,2,3,2,1,1,2,3,-0.0274286166985247,-0.061176888094705895,-30.381724109804583,1699735513.5201416,0.20456643592746432,35.318094809209356,-5.179913745077549,18.438839765665623,0.20170922056614593,-15.219340856707657,-6.071458077964422,-0.011427702596692804,0.14499998092651367,0,567.5700073242188,558.0,568.0,551.3200073242188,230773
2024-07-19,1,2,2,1,2,3,2,3,2,1,1,3,1,-0.027445879698462683,0.00618049809961807,37.58591021140271,-2107208905.701538,0.4557537480339452,28.728282768556767,7.131129511756825,40.60779343157259,-0.07866814007360157,-15.021406607488938,-6.649984759747255,0.05567429450732453,-0.007500052452087402,1,556.4000244140625,549.0,560.0,540.1900024414062,197651
2024-07-18,2,2,2,2,2,3,3,3,1,1,1,3,2,-0.013203203287390775,-0.0006640948570031391,50.58028123575206,-1187080951.359436,0.4861234113826451,19.53983993695391,21.189360298555133,40.73234074118123,-0.7037131691851939,-16.24434105385849,-6.667872227333589,0.08316728049331379,0.0,1,554.010009765625,554.0,561.7000122070312,545.8300170898438,226844
2024-07-17,1,1,2,1,3,2,3,3,1,1,2,3,2,-0.02014493200717471,-0.04560325789418096,50.4539728531351,-5052006872.992249,0.7928934553921636,-11.161873096328165,18.49077613701203,32.4572197120949,-2.5255695151882325,-15.839781137119093,1.5572303569818118,0.09554197458725766,-1.1920928955078125e-07,1,553.0399780273438,554.239990234375,558.469970703125,550.010009765625,371520
2024-07-16,2,3,2,3,2,2,3,3,1,1,2,3,1,-0.017489585203556146,0.07061835904274805,57.52211448454429,4796835087.8654175,0.6697770835428744,-10.38935077222925,20.06790254792454,25.86192156586548,-3.199825958824383,-14.276085403818884,1.9895670590058288,0.08778805972971863,-0.0549999475479126,0,557.9199829101562,555.3400268554688,558.25,545.6900024414062,293010
2024-07-15,3,1,2,2,3,1,3,2,1,1,2,3,2,0.040000133584783715,-0.06302379908624767,83.4169306259206,-1296671026.3982544,0.7517305390982794,-18.316458042257025,23.15643460748563,6.702585648820417,-3.6895600958943287,-11.03878724341208,1.7747463979083875,0.06259542893129585,0.0074999332427978516,0,553.989990234375,560.0,560.02001953125,547.8599853515625,196380
2024-07-12,1,1,2,3,3,1,3,2,1,1,2,3,3,-0.03603261677439451,-0.034730432627312346,67.47412596317633,3409083546.8446045,0.9302136644761902,-21.83897103404847,33.683688467986975,1.9976537138357884,-4.028583817960943,-5.81477932441846,3.0792283794546407,0.03846448204589814,0.04999995231628418,0,558.989990234375,551.260009765625,561.47998046875,550.0399780273438,262554
2024-07-11,1,1,2,3,3,1,3,2,1,3,2,2,2,-0.03085907816257527,-0.049224076519125415,48.48137142684742,4073854286.2091064,0.7808979558204544,-22.547751596264106,40.84782318129077,-7.318180776880993,-4.440867963672623,1.1667108018008818,4.566419634699919,0.009889546326031895,0.0,1,550.010009765625,557.3900146484375,558.2999877929688,546.8099975585938,156201
2024-07-10,1,3,3,3,3,1,3,1,1,3,3,2,2,-0.03935443096610691,0.06915266061646497,93.7127578405773,3942473062.5042725,0.8125980448512969,-19.355268635526414,22.93247708174121,-16.16361792159485,-3.318459081504206,10.515730612835775,5.792253590210457,0.012404769540155347,0.004999876022338867,0,557.72998046875,542.9199829101562,557.8400268554688,539.0,258494
2024-07-09,3,3,3,3,3,2,3,1,2,3,3,2,3,0.05566316474862942,0.05472951996374542,196.97858916930852,3713960000.0,0.7967605501946465,-8.16914128628757,9.970077348944557,-22.011191252898456,-0.06187209061331789,23.230781840414565,6.617933052548722,0.011868039283813636,0.03249979019165039,1,542.9199829101562,544.27001953125,548.4600219726562,538.9199829101562,220143
2024-07-08,3,3,3,3,3,3,2,1,3,3,3,2,2,0.03878434458221025,0.03789107803398295,158.66912377356536,4426580147.604309,1.0901624906101515,19.19674841769738,1.078797649543688,-25.60452611863839,2.051550734711987,40.2570349330109,6.544632102619033,0.0028706736839585467,0.0,1,540.9600219726562,522.0,544.8599853515625,522.0,262673
