Date,ABER_SG_20_15_USU_EXTI7_BIN,ACCBU_20_BAND_USU_L1_EXTI18_STF_BIN,AD_DIFF_USU_EXTI33_BIN,D_J_USU_L1_EXTI6_BIN,HILO_13_21_L2_EXTI7_STF_BIN,HILO_13_21_L4_EXTI38_STF_BIN,HWL_USU_EXTI39_BIN,K_D_USU_EXTI5_BIN,THERMO_20_2_0_5_USU_L5_EXTI32_BIN,THERMO_20_2_0_5_USU_L6_EXTI32_BIN,WCP_USU_EXTI4_BIN,WCP_USU_L1_EXTI20_BIN,WCP_USU_L3_EXTI13_BIN,ABER_SG_20_15_USU_EXTI7,ACCBU_20_BAND_USU_L1_EXTI18_STF,AD_DIFF_USU_EXTI33,D_J_USU_L1_EXTI6,HILO_13_21_L2_EXTI7_STF,HILO_13_21_L4_EXTI38_STF,HWL_USU_EXTI39,K_D_USU_EXTI5,THERMO_20_2_0_5_USU_L5_EXTI32,THERMO_20_2_0_5_USU_L6_EXTI32,WCP_USU_EXTI4,WCP_USU_L1_EXTI20,WCP_USU_L3_EXTI13,target,Close,Open,High,Low,Volume
2024-08-06,1,3,2,3,1,1,1,3,2,3,2,1,2,-222.1619274252575,0.523615899553576,159.41354124993086,15.72709074997605,-0.17807696415827579,-0.032269221085768685,6.734262215443094,7.2855229055197555,-0.09967387635480315,0.21795913666048072,-0.09000015258789062,0.0,-2.375,0,44.95000076293945,43.9900016784668,45.0,43.779998779296875,439945
2024-08-05,1,3,2,2,1,1,1,2,3,2,2,1,1,-226.94343477647578,0.2059831631650102,66.94494100444717,8.294026890725881,-0.15269235464242925,-0.04115383441631604,10.577585888521087,-0.9781157671756979,0.21795913666048072,-0.13409779632262656,-0.06249809265136719,-1.125,-3.0,1,43.369998931884766,43.0,44.18000030517578,41.9900016784668,564967
2024-08-02,1,3,2,1,1,1,1,2,2,2,1,1,1,-157.2932862615044,0.548412859595155,-175.0,-25.132102154952776,-0.1624615009014434,-0.04469229624821569,21.526139902638814,-1.2105502271782775,-0.13409779632262656,-0.11696335383027145,-0.8050022125244141,0.0,-7.0625,0,43.310001373291016,43.43000030517578,43.9900016784668,43.08000183105469,621330
2024-08-01,1,3,2,1,1,1,1,2,2,2,1,1,2,-165.16512738280719,0.11747756337559778,470.1667202373501,-52.96198997999147,-0.2503846975473252,-0.039999998532808334,15.004293231983349,-2.7036970254134474,-0.11696335383027145,-0.11365028581240527,-0.625,0.0,1.25,1,43.560001373291016,43.650001525878906,44.04999923706055,43.27000045776367,385851
2024-07-31,1,3,3,1,1,1,2,2,2,2,3,2,1,-136.48002656390577,0.1675727727020515,942.4195292681397,-57.13317742313115,-0.25438470106858446,-0.04115383441631604,36.50847544456349,0.6216316415561494,-0.11365028581240527,-0.12561347379265847,0.49500083923339844,2.5,-8.4375,0,43.58000183105469,43.68000030517578,44.630001068115234,43.25,1841659
2024-07-30,1,2,3,1,1,1,2,1,2,2,1,1,3,-177.0131160430616,0.046796171380847795,4559.020000909921,-38.85177423282421,-0.24423071054311762,-0.04169229360727211,42.511712352729475,-10.659530328151863,-0.12561347379265847,-0.07633594471820143,-0.2749977111816406,0.0,2.0,0,43.20000076293945,43.779998779296875,44.650001525878906,43.11000061035156,1900227
2024-07-29,1,1,3,1,1,1,2,1,2,2,1,1,2,-241.58951828922775,-0.06708255521733975,2587.4027093664918,-13.210008738725815,-0.20038458017202743,-0.03640382106487561,32.94412509996439,-12.388229425757713,-0.07633594471820143,0.025003692679882616,-0.35500144958496094,0.0,-1.4375,0,43.88999938964844,43.619998931884766,44.150001525878906,43.04999923706055,3233098
2024-07-26,1,3,1,2,1,1,1,1,2,1,2,1,2,-225.4746065522799,0.35180053755518337,-35334.49334726436,-9.767296782651423,-0.17961546090932856,-0.026423050807072634,6.10494095417376,-12.587508100858564,0.025003692679882616,-0.2379893396696034,-0.11749839782714844,-1.5749969482421875,-1.25,0,43.70000076293945,45.400001525878906,45.59000015258789,43.02000045776367,872003
2024-07-25,1,3,3,3,1,1,1,1,1,2,3,1,3,-224.75993893884666,0.25750812652289623,6318.108786141442,18.24240728541939,-0.14773082733154297,-0.016384601593017578,21.206351121558278,-14.359985912750663,-0.2379893396696034,-0.138040849108509,0.5124988555908203,0.0,3.8125,0,45.599998474121094,46.75,46.79999923706055,45.040000915527344,764866
2024-07-24,1,2,1,3,1,2,1,1,2,2,2,1,2,-135.73773603404553,0.03348169854925098,-29177.492797851562,21.010530344009197,-0.11507694537823099,-0.0026922959547777126,15.900575929493948,-13.28812219442694,-0.138040849108509,-0.10569646480414152,0.0024967193603515625,0.0,-2.0625,0,46.560001373291016,45.59000015258789,48.0,45.40999984741211,949444
