Date,ACCBU_20_BAND_USU_L2_EXTI22_STF_BIN_1,ACCBU_20_BAND_USU_L2_EXTI22_STF_BIN_2,ACCBU_20_BAND_USU_L2_EXTI22_STF_BIN_3,AD_DIFF_USU_L5_EXTI38_BIN_1,AD_DIFF_USU_L5_EXTI38_BIN_2,AD_DIFF_USU_L5_EXTI38_BIN_3,AROONOSC_14_L3_EXTI33_BIN_1,AROONOSC_14_L3_EXTI33_BIN_2,AROONOSC_14_L3_EXTI33_BIN_3,BBPU_20_2_0_USU_L2_EXTI15_BIN_1,BBPU_20_2_0_USU_L2_EXTI15_BIN_2,BBPU_20_2_0_USU_L2_EXTI15_BIN_3,D_J_USU_L1_EXTI6_BIN_1,D_J_USU_L1_EXTI6_BIN_2,D_J_USU_L1_EXTI6_BIN_3,K_D_USU_L5_EXTI25_BIN_1,K_D_USU_L5_EXTI25_BIN_2,K_D_USU_L5_EXTI25_BIN_3,PVOh_12_26_9_L1_EXTI16_BIN_1,PVOh_12_26_9_L1_EXTI16_BIN_2,PVOh_12_26_9_L1_EXTI16_BIN_3,QQE_DELS_USU_L2_EXTI13_BIN_1,QQE_DELS_USU_L2_EXTI13_BIN_2,QQE_DELS_USU_L2_EXTI13_BIN_3,SMIo_5_20_5_L2_EXTI27_BIN_1,SMIo_5_20_5_L2_EXTI27_BIN_2,SMIo_5_20_5_L2_EXTI27_BIN_3,THERMO_20_2_0_5_USU_L4_BIN_1,THERMO_20_2_0_5_USU_L4_BIN_2,THERMO_20_2_0_5_USU_L4_BIN_3,WCP_L3_STF_BIN_1,WCP_L3_STF_BIN_2,WCP_L3_STF_BIN_3,WCP_L6_STF_BIN_1,WCP_L6_STF_BIN_2,WCP_L6_STF_BIN_3,WCP_USU_L3_EXTI34_BIN_1,WCP_USU_L3_EXTI34_BIN_2,WCP_USU_L3_EXTI34_BIN_3,target,probs
2024-07-15,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.4172698401433664
2024-07-12,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.41347121773687784
2024-07-11,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.4101118467276633
2024-07-10,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4040410154218589
2024-07-09,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.40722159960997717
2024-07-08,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.4166127846567187
2024-07-05,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.42040233622326173
2024-07-04,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.41399776506528546
2024-07-03,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4098677677404099
2024-07-02,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.3996503078801726
